Type,Trans Date,Post Date,Description,Amount,Category,Memo,
Sale,10/7/2017,10/10/2017,LAKE CHABOT G.C.,-52,y,,
Sale,10/8/2017,10/9/2017,IMRAN TAXI SERVICE,-50.5,y,,
Sale,10/8/2017,10/9/2017,SQ *GOTHAM ENTERPRISES SF,-6.64,y,,
Sale,10/6/2017,10/8/2017,STARBUCKS STORE 05692,-2.5,,,
Sale,10/6/2017,10/8/2017,JACK'S RESTAURANT &amp; BA,-20,y,,
Sale,10/5/2017,10/8/2017,UNITED      0162368324915,-444.4,y,,
Payment,10/5/2017,10/5/2017,Payment Thank You - Web,1000,y,,
Sale,10/3/2017,10/5/2017,STAMINA PRODUCTS,-46.62,y,,
,,,,,,,
Sale,10/2/2017,10/3/2017,STATE OF CALIF DMV INT SC,-33,y,,
Sale,9/30/2017,10/1/2017,TOWNEPLACE SUITES STLO,-552.49,y,,
Sale,9/29/2017,10/1/2017,UNITED      0162367480358,-642.4,y,,
Sale,9/29/2017,10/1/2017,TOWNEPLACE SUITES OLYM,-634.26,y,,
Sale,9/28/2017,10/1/2017,IMRAN TAXI SERVICE,-49,y,,
Sale,9/28/2017,10/1/2017,HERTZ RENT-A-CAR,-264.81,y,,
Sale,9/28/2017,10/1/2017,MAD ANTHONYS SEA,-49.29,y,,
Sale,9/28/2017,9/29/2017,76 - INFINITY ENTERPRISES,-13.62,y,,
Sale,9/28/2017,9/29/2017,GA-CAMPUS PARKING 4,-14,y,,
Sale,9/27/2017,9/28/2017,GA-CAMPUS PARKING 4,-16,y,,
Sale,9/27/2017,9/28/2017,MEGABITES DELI,-6.51,y,,
Sale,9/26/2017,9/28/2017,SAFEWAY  STORE00015032,-60.97,y,,
Sale,9/26/2017,9/27/2017,GA-CAMPUS PARKING 8,-14,y,,
Sale,9/25/2017,9/27/2017,KLEIN DELI F,-19.13,y,,
Sale,9/25/2017,9/27/2017,SAFEWAY  STORE00015032,-68.04,y,,
Sale,9/25/2017,9/26/2017,IMRAN TAXI SERVICE,-49,y,,
Sale,9/23/2017,9/26/2017,LAKE CHABOT G.C.,-36,y,,
Sale,9/23/2017,9/24/2017,PATRICIA KERRIGAN,-55,y,,
Sale,9/21/2017,9/22/2017,CVS/PHARMACY #09977,-30,y,,
Sale,9/20/2017,9/22/2017,BURTON ANTIQUE AUTO PARTS,-500.02,y,,
Sale,9/19/2017,9/21/2017,HERTZ RENT-A-CAR,-2.9,y,,
Payment,9/20/2017,9/20/2017,Payment Thank You - Web,1200,y,,
Sale,9/19/2017,9/20/2017,CHEVRON 0091035,-30.32,y,,
Sale,9/17/2017,9/19/2017,SHELL OIL 57442715504,-36.78,y,,
Sale,9/17/2017,9/18/2017,76 - BB TRAVEL CENTER,-35.53,y,,
Sale,9/17/2017,9/18/2017,TARGET        00011411,-24.81,y,,
Sale,9/17/2017,9/18/2017,EL TIBURON,-39.82,y,,
Sale,9/17/2017,9/18/2017,CHEVRON 0305034,-39.09,y,,
Sale,9/15/2017,9/18/2017,US EGG PHOENIX,-20.46,y,,
Sale,9/16/2017,9/17/2017,HILITER,-32,y,,
Sale,9/15/2017,9/17/2017,STACKERS RESTAURANT,-22.73,y,,
Sale,9/15/2017,9/17/2017,0253/1AZ003 SEES CANDY,-20.4,y,,
Sale,9/15/2017,9/17/2017,THE TAV,-31.39,y,,
Sale,9/15/2017,9/17/2017,BARRIO CAFE INC,-21.91,y,,
Sale,9/14/2017,9/17/2017,UNITED      0162365375210,-593.4,y,,
Sale,9/14/2017,9/17/2017,STARBUCKS STORE 06682,-6.62,y,,
Sale,9/14/2017,9/15/2017,76 - BB TRAVEL CENTER,-21.35,y,,
Sale,9/13/2017,9/14/2017,HERTZ RENT-A-CAR,-161.89,y,,
Sale,9/13/2017,9/14/2017,CHEVRON 0092133,-36.19,y,,
Sale,9/12/2017,9/14/2017,SAFEWAY #639,-134.61,,,
Payment,9/13/2017,9/13/2017,Payment Thank You - Web,1500,y,,
,,,,,,,
Fee,9/10/2017,9/10/2017,PURCHASE INTEREST CHARGE,-219.43,y,,
Sale,9/3/2017,9/4/2017,76 - DOUBLE AA HAYWARD,-31.25,y,,
Sale,8/28/2017,8/29/2017,HERTZ RENT-A-CAR,-411.3,y,,
Sale,8/26/2017,8/28/2017,SERRAMONTE SUBARU,-179.51,y,,
Sale,8/26/2017,8/27/2017,MARRIOTT COLUMBUS OSU,-1052.86,y,,
Sale,8/25/2017,8/27/2017,BP#88633421259 E 5TH AVE,-9.23,y,,
Sale,8/25/2017,8/27/2017,IMRAN TAXI SERVICE,-49,y,,
Sale,8/24/2017,8/25/2017,KROGER #221,-41.47,y,,
Sale,8/23/2017,8/24/2017,KROGER #221,-65.9,y,,
Sale,8/22/2017,8/23/2017,KROGER #221,-59.4,y,,
Sale,8/21/2017,8/23/2017,RIVERSIDE PARKING SERVICE,-3,y,,
Sale,8/21/2017,8/22/2017,KROGER #221,-54.79,y,,
Sale,8/20/2017,8/21/2017,LUCKY S COLUMBUS,-60.78,y,,
Sale,8/20/2017,8/21/2017,BBOOKSTORE ST842,-3.85,,,
Sale,8/20/2017,8/21/2017,IMRAN TAXI SERVICE,-49,y,,
Sale,8/19/2017,8/21/2017,SAFEWAY  STORE00006395,-11.96,y,,
Sale,8/19/2017,8/20/2017,CRYSTAL SPRINGS PRODUC,-53.61,y,,
Sale,8/17/2017,8/20/2017,HERTZ RENT-A-CAR,-318.13,y,,
Payment,8/18/2017,8/18/2017,Payment Thank You - Web,5000,,,
Sale,8/17/2017,8/18/2017,CHEVRON 0090137,-3.08,y,,
Sale,8/17/2017,8/18/2017,CHEVRON 0090137,-20.7,y,,
Sale,8/17/2017,8/18/2017,76 - SAN BRUNO 76,-21.51,,,
Sale,8/17/2017,8/18/2017,CVS/PHARMACY #09977,-19.65,y,,
Sale,8/16/2017,8/18/2017,SHELL OIL 50429220028,-20.16,,,
Sale,8/16/2017,8/18/2017,IHOP 689      00006890,-36.36,y,,
Sale,8/16/2017,8/18/2017,UNITED      0162361225831,-851.6,y,,
,,,,,,,
,,,,,,,
,,,,,,,
Sale,8/16/2017,8/17/2017,ADEL'S RESTAURANT,-36.51,y,,
Sale,8/15/2017,8/17/2017,PATRICIA KERRIGAN,-55,y,,
Sale,8/15/2017,8/16/2017,76 - BOREL 76,-35.57,,,
Sale,8/14/2017,8/16/2017,OXFORD SUITES,-522.77,y,,
Sale,8/14/2017,8/15/2017,CHEVRON 0092265,-28.59,,,
Sale,8/14/2017,8/15/2017,THE SOUTHERN STATI,-71.15,y,,
Sale,8/14/2017,8/15/2017,ZORROS CAFE AND CA,-88.51,y,,
Sale,8/13/2017,8/15/2017,CITY OF PISMO BEACH - PAR,-2,y,,
Sale,8/11/2017,8/13/2017,CASABLANCA PACKAGES,-408,y,,
Fee,8/10/2017,8/10/2017,PURCHASE INTEREST CHARGE,-211.78,,,
Sale,8/5/2017,8/8/2017,LAKE CHABOT G.C.,-36,y,,
Sale,8/4/2017,8/6/2017,RESIDENCE INN CAPITOL,-1071.74,y,,
Payment,8/4/2017,8/4/2017,Payment Thank You - Web,2000,y,,
Sale,8/3/2017,8/4/2017,CAPITAL IMAGE,-38.1,y,,
Sale,8/3/2017,8/4/2017,HITCH TAXI DC,-17.39,y,,
Sale,8/3/2017,8/4/2017,IMRAN TAXI SERVICE,-50,y,,
Sale,8/2/2017,8/4/2017,SAFEWAY STORE 00028928,-48.93,y,,
,,,,,,,
Sale,8/1/2017,8/3/2017,SAFEWAY STORE 00028928,-55.99,y,,
Sale,7/31/2017,8/2/2017,SAFEWAY STORE 00028928,-73.67,y,,
Sale,7/30/2017,8/1/2017,TAXI SVC WASHINGTON,-18.92,y,,
Sale,7/30/2017,8/1/2017,FRAICHE-SFO AIRPORT,-9.17,y,,
Sale,7/30/2017,8/1/2017,SAFEWAY STORE 00028928,-56.94,y,,
Sale,7/30/2017,7/31/2017,IMRAN TAXI SERVICE,-49,y,,
Sale,7/29/2017,7/30/2017,99 RANCH #1782,-50.21,y,,
Sale,7/29/2017,7/30/2017,99 RANCH #1782,-94.43,y,,
Sale,7/25/2017,7/27/2017,UNITED      0162358101532,-1430,y,,
Sale,7/23/2017,7/25/2017,LAKE CHABOT G.C.,-36,y,,
Sale,7/23/2017,7/24/2017,CHEVRON 0092038,-36.2,y,,
Sale,7/21/2017,7/23/2017,HERTZ RENT-A-CAR,-282.64,y,,
Sale,7/21/2017,7/23/2017,IMRAN TAXI SERVICE,-50,y,,
Sale,7/21/2017,7/23/2017,CROWNE PLAZA CHARLOTTE,-973.87,y,,
Sale,7/21/2017,7/23/2017,AIRPORT EXPRESS,-8.07,y,,
Sale,7/21/2017,7/23/2017,FIRST IN FLIGH12200010,-35.3,y,,
Sale,7/20/2017,7/23/2017,CONNECTION CAF18149740,-13.61,y,,
Sale,7/20/2017,7/21/2017,PUBLIX #1480,-31.18,y,,
Sale,7/19/2017,7/21/2017,SC* THE HACKER NEWS DE,-43,y,,
Sale,7/19/2017,7/21/2017,CONNECTION CAF18149740,-10.93,y,,
Sale,7/19/2017,7/20/2017,PUBLIX #1480,-40.08,y,,
Sale,7/18/2017,7/20/2017,CONNECTION CAF18149740,-8.67,y,,
Sale,7/18/2017,7/19/2017,PUBLIX #1480,-37.47,y,,
Sale,7/17/2017,7/19/2017,CONNECTION CAF18149740,-7.57,y,,
,,,,,,,
Sale,7/17/2017,7/18/2017,PUBLIX #1480,-42.56,y,,
Sale,7/16/2017,7/17/2017,FOOD LION #1376,-44.46,y,,
Sale,7/15/2017,7/17/2017,SAFEWAY  STORE00006395,-43.02,y,,
Sale,7/15/2017,7/17/2017,SAFEWAY  STORE00006395,-4.36,,?,
Payment,7/16/2017,7/16/2017,Payment Thank You - Web,1200,y,,
Sale,7/15/2017,7/16/2017,COURTYARD BY MARRIOTT,-685.75,,,y
Sale,7/15/2017,7/16/2017,CITYWIDE TAXI,-50.55,,,y
Sale,7/14/2017,7/16/2017,M STARBUCKS BO12201513,-11.74,,,y
Sale,7/14/2017,7/16/2017,AIRPORT EXPRESS,-7.4,,,y
Sale,7/14/2017,7/16/2017,MARKETPLACE MA12205720,-26.04,,,y
Sale,7/14/2017,7/16/2017,HERTZ RENT-A-CAR,-536.05,,,y
Sale,7/13/2017,7/16/2017,CONNECTION CAF18149740,-10.24,,,y
,,,,,,,
Sale,7/13/2017,7/14/2017,PUBLIX #1480,-7.84,,,y
Sale,7/12/2017,7/14/2017,CONNECTION CAF18149740,-10.39,,,y
Sale,7/12/2017,7/13/2017,PUBLIX #1480,-26.49,,,y
Sale,7/11/2017,7/13/2017,CONNECTION CAF18149740,-8.43,,,y
Sale,7/11/2017,7/12/2017,PUBLIX #1480,-66.79,,,y
Sale,7/10/2017,7/11/2017,PUBLIX #1480,-7.46,,,y
Sale,7/10/2017,7/11/2017,PUBLIX #1480,-34.68,,,y
Sale,7/9/2017,7/11/2017,FRAICHE-SFO AIRPORT,-7.95,,,y
Fee,7/10/2017,7/10/2017,CASH ADVANCE INTEREST CHA,-0.64,,,?
Fee,7/10/2017,7/10/2017,PURCHASE INTEREST CHARGE,-143.69,,,?
Sale,7/9/2017,7/10/2017,PUBLIX #1480,-43.09,,,y
Sale,7/9/2017,7/10/2017,PUBLIX #1480,-17.17,,,y
