Type,Trans Date,Post Date,Description,Amount,Category,Memo,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,ic,1529 sars,794+735,,
Adjustment,1/27/2017,1/29/2017,TRAVEL CREDIT $300/YEAR,6.3,null,null,
Sale,1/27/2017,1/30/2017,GRACEFULLY,-9.8,null,null,
Sale,1/27/2017,1/29/2017,STARBUCKS STORE 29173,-23.84,null,null,
Adjustment,1/27/2017,1/29/2017,TRAVEL CREDIT $300/YEAR,49.5,null,null,
Sale,1/27/2017,1/29/2017,0000NYCTAXI8Y52,-84.1,null,null,
Adjustment,1/27/2017,1/29/2017,TRAVEL CREDIT $300/YEAR,9.56,null,null,
Sale,1/27/2017,1/29/2017,0000NYCTAXI9M57,-6.3,null,null,
Sale,1/27/2017,1/29/2017,TC STARBUCKS C10421519,-59.64,null,null,
Sale,1/27/2017,1/29/2017,0000NYCTAXI4Y26,-5.8,null,null,
Sale,1/26/2017,1/27/2017,0000NYCTAXI4H52,-7.8,null,null,
Adjustment,1/26/2017,1/27/2017,TRAVEL CREDIT $300/YEAR,7.8,null,null,
Sale,1/26/2017,1/29/2017,GRACEFULLY,-19.06,null,null,
Sale,1/26/2017,1/29/2017,NYC-TAXI,-10.8,null,null,
Adjustment,1/26/2017,1/29/2017,TRAVEL CREDIT $300/YEAR,10.8,null,null,
Sale,1/26/2017,1/29/2017,FAIRFIELD INN &amp; SUITES,-15.07,null,null,
Sale,1/25/2017,1/27/2017,TOMOKAZU JAPANESE CUISINE,-43.1,null,null,
Sale,1/25/2017,1/27/2017,FAIRFIELD INN &amp; SUITES,-27.04,null,null,
Adjustment,1/25/2017,1/26/2017,TRAVEL CREDIT $300/YEAR,48.5,null,null,
Sale,1/25/2017,1/26/2017,TAXI-PASS.COM,-91.5,null,null,
Adjustment,1/25/2017,1/26/2017,TRAVEL CREDIT $300/YEAR,91.5,null,null,
Sale,1/25/2017,1/26/2017,IMRAN TAXI SERVICE,-48.5,null,null,
Adjustment,1/25/2017,1/27/2017,TRAVEL CREDIT $300/YEAR,27.04,null,null,
Sale,1/23/2017,1/23/2017,SAN BRUNO IHAW IHAW INC,-44.6,null,null,
Sale,1/22/2017,1/23/2017,COSTCO WHSE #0147,-250.13,null,null,
Sale,1/21/2017,1/23/2017,NORDSTROM #0420,-35.92,null,null,
Sale,1/21/2017,1/23/2017,NORDSTROM #0420,-5.4,null,null,
