Type,Trans Date,Post Date,Description,Amount,Category,Memo,,,,,,,,,
9/7/2020,9/8/2020,OPA AUTHENTIC GREEK CUISI,Food & Drink,Sale,-94.57,,,,,,,,,,
9/5/2020,9/7/2020,LAKE CHABOT GOLF COURSE,Entertainment,Sale,-53,y,,,,,,,,,
9/5/2020,9/7/2020,SHELL OIL 57444676001,Gas,Sale,-40.87,,,,,,,,,,
9/3/2020,9/6/2020,CITY OF WALNUT CREEK,Travel,Sale,-6,y,,,,,,,,,
9/3/2020,9/6/2020,TST* SAUCED BBQ &amp; SPIRITS,Food & Drink,Sale,-94.89,y,,,,,,,,,
9/4/2020,9/6/2020,Microsoft*Xbox,Bills & Utilities,Sale,-9.89,y,,,,,,,,,
9/2/2020,9/4/2020,CITY OF WALNUT CREEK,Travel,Sale,-1.5,y,,,,,,,,,
9/3/2020,9/4/2020,TST* HAVANA - WALNUT CREE,Food & Drink,Sale,-141.03,y,,,,,,,,,
9/2/2020,9/3/2020,SERRAMONTE SUBARU,Automotive,Sale,-105.04,y,,,,,,,,,
9/1/2020,9/3/2020,SHELL OIL 57444676001,Gas,Sale,-39.84,,,,,,,,,,
9/1/2020,9/3/2020,LAKE CHABOT GOLF COURSE,Entertainment,Sale,-22,y,,,,,,,,,
9/1/2020,9/2/2020,FASTRAK CSC,Travel,Sale,-70,,,,,,,,,,
8/31/2020,9/2/2020,LAKE CHABOT GOLF COURSE,Entertainment,Sale,-32,y,,,,,,,,,
8/31/2020,9/2/2020,LAKE CHABOT GOLF COURSE,Entertainment,Sale,-22,y,,,,,,,,,
8/29/2020,9/1/2020,CITY OF WALNUT CREEK,Travel,Sale,-2.5,,,,,,,,,,
8/31/2020,8/31/2020,Payment Thank You - Web,,Payment,655.79,,,,,,,,,,
8/29/2020,8/31/2020,SHELL OIL 57444676001,Gas,Sale,-43.27,,,,,,,,,,
8/29/2020,8/31/2020,LAKE CHABOT GOLF COURSE,Entertainment,Sale,-53,y,,,,,,,,,
8/30/2020,8/31/2020,OPA AUTHENTIC GREEK CUISI,Food & Drink,Sale,-103.66,y,,,,,,,,,
8/8/2020,8/9/2020,SQ *ZAMEEN APTOS,Food & Drink,Sale,-43.16,,,,,,,,,,
8/8/2020,8/9/2020,CHEVRON 0354405,Gas,Sale,-34.53,y,,,,,,,,,
7/31/2020,8/3/2020,POGGIO,Food & Drink,Sale,-93.95,y,,,,,,,,,
7/30/2020,8/2/2020,CALLIPPE PRESERVE GOLF CO,Entertainment,Sale,-65,y,,,,,,,,,
7/31/2020,8/2/2020,CITY OF SAUSALITO,Travel,Sale,-6,,,,,,,,,,
7/28/2020,7/30/2020,CALLIPPE PRESERVE GOLF CO,Entertainment,Sale,-65,y,,,,,,,,,
7/29/2020,7/30/2020,CHEVRON 0092038,Gas,Sale,-39.74,y,,,,,,,,,
7/29/2020,7/30/2020,FASTRAK CSC,Travel,Sale,-70,,,,,,,,,,
7/27/2020,7/29/2020,JERRYS BEEFBURGER,Food & Drink,Sale,-12.07,,,,,,,,,,
7/26/2020,7/27/2020,SQ *SWANTON BERRY FARM,Groceries,Sale,-50,y,,,,,,,,,
7/25/2020,7/27/2020,LAKE CHABOT GOLF COURSE,Entertainment,Sale,-53,y,,,,,,,,,
7/26/2020,7/27/2020,76 - NW255427 ASD2 NOC,Gas,Sale,-37.67,,,,,,,,,,
7/24/2020,7/26/2020,SQ *MARINERS POINT GOLF C,Entertainment,Sale,-17,y,,,,,,,,,
7/21/2020,7/21/2020,Payment Thank You - Web,,Payment,223.42,y,,,,,,,,,
