INV-0121,Unit F,01 May 2016,06 May 2016,Water,PHP,360.00,0.00,Paid,Receivable Invoice,Not sent
INV-0122,Unit A,01 May 2016,06 May 2016,Electricity,PHP,"2,630.00",0.00,Paid,Receivable Invoice,Not sent
INV-0123,Unit B,01 May 2016,06 May 2016,Electricity,PHP,"4,380.00",0.00,Paid,Receivable Invoice,Not sent
INV-0124,Unit C,01 May 2016,06 May 2016,Electricity,PHP,"3,190.00",0.00,Paid,Receivable Invoice,Not sent
INV-0125,Unit D,01 May 2016,06 May 2016,Electricity,PHP,"2,250.00",0.00,Paid,Receivable Invoice,Not sent
INV-0126,Unit E,01 May 2016,06 May 2016,Electricity,PHP,"9,520.00",0.00,Paid,Receivable Invoice,Not sent
INV-0127,Unit F,01 May 2016,06 May 2016,Electricity,PHP,760.00,0.00,Paid,Receivable Invoice,Not sent
INV-0128,Unit F,01 Jun 2016,06 Jun 2016,Electricity,PHP,"1,019.90",0.00,Paid,Receivable Invoice,Not sent
INV-0129,Unit E,01 Jun 2016,06 Jun 2016,Electricity,PHP,"8,763.27",0.00,Paid,Receivable Invoice,Not sent
INV-0130,Unit D,01 Jun 2016,06 Jun 2016,Electricity,PHP,"2,406.18",0.00,Paid,Receivable Invoice,Not sent
INV-0131,Unit C,01 Jun 2016,06 Jun 2016,Electricity,PHP,"3,871.18",0.00,Paid,Receivable Invoice,Not sent
INV-0132,Unit B,01 Jun 2016,06 Jun 2016,Electricity,PHP,"4,554.92",0.00,Paid,Receivable Invoice,Not sent
INV-0133,Unit A,01 Jun 2016,06 Jun 2016,Electricity,PHP,"2,495.00",0.00,Paid,Receivable Invoice,Not sent
INV-0134,Unit F,01 Jun 2016,06 Jun 2016,Water,PHP,534.00,0.00,Paid,Receivable Invoice,Not sent
INV-0135,Unit E,01 Jun 2016,06 Jun 2016,Water,PHP,"2,823.00",0.00,Paid,Receivable Invoice,Not sent
